frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1298,2024-06-19 11:35:52.282,43.272,32.103223,35.208064,403.87058061314303,-179.335699667526,118.4,113.74014934043839,trajectory,60.0,fixed,68.35827187205172,466.3105315494972,-207.15845762569796,32.1029730639128,35.208726168334856
1299,2024-06-19 11:35:52.315,43.305,32.103223,35.208064,403.87058061314303,-179.335699667526,118.4,113.74014934043839,trajectory,60.0,fixed,68.35827187205172,466.3105315494972,-207.15845762569796,32.1029730639128,35.208726168334856
1300,2024-06-19 11:35:52.348,43.338,32.103223,35.208064,403.87058061314303,-179.335699667526,118.4,113.74014934043839,trajectory,60.0,fixed,68.35827187205172,466.3105315494972,-207.15845762569796,32.1029730639128,35.208726168334856
1301,2024-06-19 11:35:52.382,43.372,32.103219,35.208074,404.8135425105711,-179.78097763033537,118.4,114.2934244226833,trajectory,60.0,fixed,68.35827187205172,467.2534934489569,-207.60373558394798,32.102969063912845,35.20873616833488
1302,2024-06-19 11:35:52.415,43.405,32.103219,35.208074,404.8135425105711,-179.78097763033537,118.4,114.2934244226833,trajectory,60.0,fixed,68.35827187205172,467.2534934489569,-207.60373558394798,32.102969063912845,35.20873616833488
1303,2024-06-19 11:35:52.448,43.438,32.103219,35.208074,404.8135425105711,-179.78097763033537,118.4,114.2934244226833,trajectory,60.0,fixed,68.35827187205172,467.2534934489569,-207.60373558394798,32.102969063912845,35.20873616833488
1304,2024-06-19 11:35:52.482,43.472,32.103215,35.208084,405.7565044073994,-180.226255594561,118.4,114.29342443103167,trajectory,60.0,fixed,68.35827187205172,468.1964553457852,-208.0490135481736,32.10296506391283,35.20874616833487
1305,2024-06-19 11:35:52.515,43.505,32.103215,35.208084,405.7565044073994,-180.226255594561,118.4,114.29342443103167,trajectory,60.0,fixed,68.35827187205172,468.1964553457852,-208.0490135481736,32.10296506391283,35.20874616833487
1306,2024-06-19 11:35:52.551,43.539,32.103215,35.208084,405.7565044073994,-180.226255594561,118.4,114.29342443103167,trajectory,60.0,fixed,68.35827187205172,468.1964553457852,-208.0490135481736,32.10296506391283,35.20874616833487
1307,2024-06-19 11:35:52.582,43.572,32.103211,35.208094,406.69946630542734,-180.67153355737037,118.4,114.29342442835201,trajectory,60.0,fixed,68.35827187205172,469.1394172424266,-208.4942915140947,32.10296106391281,35.208756168334865
