query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
v14,1769,data/processed/frames_v14_1fps/frame_000060.jpg,v12,4287,5.893520948006632,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,1,0.9885677695274353,351,344,0.98005698005698,5.893520948006632
v14,1799,data/processed/frames_v14_1fps/frame_000061.jpg,v12,4287,5.017273526072011,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,1,0.9900658130645752,347,339,0.9769452449567724,5.017273526072011
v14,1829,data/processed/frames_v14_1fps/frame_000062.jpg,v12,4287,4.764013326333927,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,1,0.988793671131134,366,357,0.9754098360655737,4.764013326333927
v14,1859,data/processed/frames_v14_1fps/frame_000063.jpg,v12,4287,8.040815220169478,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,1,0.9897400140762329,359,354,0.9860724233983287,8.040815220169478
v14,1889,data/processed/frames_v14_1fps/frame_000064.jpg,v12,4287,7.378594867427752,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,1,0.9898620247840881,353,345,0.9773371104815864,7.378594867427752
v14,1919,data/processed/frames_v14_1fps/frame_000065.jpg,v12,4287,6.510189240227252,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,1,0.9881214499473572,352,342,0.9715909090909091,6.510189240227252
v14,1949,data/processed/frames_v14_1fps/frame_000066.jpg,v12,4287,8.171250572606816,v12,4317,data/processed/frames_v12_1fps/frame_000145.jpg,3,0.9862250089645386,352,347,0.9857954545454546,5.101546837572463
v14,1979,data/processed/frames_v14_1fps/frame_000067.jpg,v12,4287,10.607907690256823,v12,4317,data/processed/frames_v12_1fps/frame_000145.jpg,2,0.9866905212402344,346,337,0.9739884393063584,6.437942920358988
v14,2009,data/processed/frames_v14_1fps/frame_000068.jpg,v12,4287,11.907420325389758,v12,4317,data/processed/frames_v12_1fps/frame_000145.jpg,4,0.9816817045211792,342,335,0.97953216374269,6.406897230596531
v14,2039,data/processed/frames_v14_1fps/frame_000069.jpg,v12,4287,10.686145660146646,v12,4317,data/processed/frames_v12_1fps/frame_000145.jpg,2,0.9816343188285828,328,316,0.9634146341463414,6.207332742889687
