frame_count,time_s,gt_lat,gt_lon,vpr_decision,vpr_lat,vpr_lon,vpr_error_m,sat_status,sat_lat,sat_lon,sat_error_m,sat_inliers,final_status,final_lat,final_lon,final_error_m
2998,99.989,32.10328285184479,35.20574337612295,NO_FIX,32.1036304,35.2060303,47.21,ok,32.10335,35.205963,22.02,49,SAT_FIX,32.10335,35.205963,22.02
3028,100.99,32.10333290526715,35.2058514420233,NO_FIX,32.1036482,35.2060876,41.57,ok,32.103374,35.20604,18.36,41,SAT_FIX,32.103374,35.20604,18.36
3058,101.991,32.10334784882312,35.20595634942873,FIX,32.1036637,35.2061497,39.61,ok,32.10337,35.206078,11.73,53,VPR_FIX,32.1036637,35.2061497,39.61
3088,102.992,32.10334601050077,35.20606235476807,NO_FIX,32.1036745,35.2062151,39.3,ok,32.10335,35.20621,13.93,56,SAT_FIX,32.10335,35.20621,13.93
3118,103.993,32.10334316915985,35.20616835995851,NO_FIX,32.1036825,35.2062824,39.28,ok,32.103355,35.206394,21.32,60,SAT_FIX,32.103355,35.206394,21.32
3148,104.994,32.1033413390516,35.206275752970726,NO_FIX,32.1036864,35.2063549,39.13,ok,32.10335,35.206493,20.51,71,SAT_FIX,32.10335,35.206493,20.51
3178,105.995,32.103335010143226,35.20638363484412,NO_FIX,32.103683,35.206431,38.99,ok,32.103348,35.206524,13.31,53,SAT_FIX,32.103348,35.206524,13.31
3208,106.996,32.103352,35.20649202165676,NO_FIX,32.1036707,35.2065111,35.52,ok,32.103367,35.206696,19.31,81,SAT_FIX,32.103367,35.206696,19.31
3238,107.996,32.10342893571026,35.20658971186602,NO_FIX,32.1036509,35.2065936,24.71,ok,32.103527,35.20673,17.15,69,SAT_FIX,32.103527,35.20673,17.15
3268,108.997,32.10343775944158,35.20669095160446,NO_FIX,32.1036258,35.2066813,20.96,ok,32.103355,35.20685,17.6,71,SAT_FIX,32.103355,35.20685,17.6
3298,109.998,32.10333688150405,35.20679275806973,NO_FIX,32.1035934,35.2067715,28.62,ok,32.10328,35.206963,17.26,82,SAT_FIX,32.10328,35.206963,17.26
3328,110.999,32.10328566478933,35.206887593080594,NO_FIX,32.103557,35.2068661,30.27,ok,32.10327,35.207047,15.13,69,SAT_FIX,32.10327,35.207047,15.13
3358,112.0,32.103271366330084,35.20699024069582,NO_FIX,32.1035171,35.206966,27.45,ok,32.103256,35.207165,16.57,89,SAT_FIX,32.103256,35.207165,16.57
3388,113.001,32.10326067705988,35.207093906460805,NO_FIX,32.1034717,35.2070696,23.61,ok,32.103264,35.207233,13.12,61,SAT_FIX,32.103264,35.207233,13.12
3418,114.002,32.10324613715952,35.20719688890249,NO_FIX,32.1034239,35.2071743,19.91,ok,32.10324,35.207363,15.68,67,SAT_FIX,32.10324,35.207363,15.68
3448,115.003,32.10323489930336,35.20730201029132,NO_FIX,32.1033774,35.20728,16.0,ok,32.10322,35.207474,16.3,60,SAT_FIX,32.10322,35.207474,16.3
3478,116.004,32.10322327512558,35.207408069724075,FIX,32.1033308,35.2073866,12.14,ok,32.10323,35.207523,10.86,57,VPR_FIX,32.1033308,35.2073866,12.14
3508,117.005,32.10321083028149,35.207514617108586,FIX,32.1032827,35.2074943,8.23,ok,32.103195,35.207672,14.95,52,VPR_FIX,32.1032827,35.2074943,8.23
3538,118.005,32.1031951172823,35.20761901482876,FIX,32.1032359,35.2076025,4.8,ok,32.103203,35.207726,10.13,49,VPR_FIX,32.1032359,35.2076025,4.8
3568,119.006,32.10318211728229,35.207724014828756,FIX,32.1031905,35.2077088,1.72,ok,32.1032,35.20782,9.27,43,VPR_FIX,32.1031905,35.2077088,1.72
3598,120.007,32.10317383028146,35.20782961710858,FIX,32.103147,35.2078149,3.3,ok,32.103172,35.207943,10.69,40,VPR_FIX,32.103147,35.2078149,3.3
3628,121.008,32.10316515608476,35.2079361333095,FIX,32.1031058,35.2079198,6.79,ok,32.10315,35.208023,8.36,40,VPR_FIX,32.1031058,35.2079198,6.79
3658,122.009,32.103157488961585,35.208041628595595,FIX,32.1030682,35.208026,10.05,ok,32.103157,35.208096,5.13,33,VPR_FIX,32.1030682,35.208026,10.05
3688,123.01,32.10312869263351,35.20814410860112,FIX,32.1030328,35.2081297,10.76,ok,32.103157,35.208054,9.06,9,VPR_FIX,32.1030328,35.2081297,10.76
3718,124.011,32.10305181194514,35.208231309340434,FIX,32.1030048,35.2082248,5.26,ok,32.10298,35.208298,10.17,35,VPR_FIX,32.1030048,35.2082248,5.26
3748,125.012,32.10294368451286,35.20829759563005,NO_FIX,32.1029787,35.2083217,4.51,ok,32.102833,35.208256,12.93,13,SAT_FIX,32.102833,35.208256,12.93
3778,126.013,32.10285212447345,35.20835771210246,FIX,32.102954,35.2084204,12.79,ok,32.10273,35.208344,13.66,18,VPR_FIX,32.102954,35.2084204,12.79
3808,127.013,32.102837745066445,35.208461738096865,FIX,32.1029297,35.208518,11.53,ok,32.10292,35.208424,9.82,48,VPR_FIX,32.1029297,35.208518,11.53
3838,128.014,32.10285510834215,35.208578521777476,FIX,32.1029097,35.208615,6.98,ok,32.10284,35.20862,4.26,52,VPR_FIX,32.1029097,35.208615,6.98
3868,129.015,32.10282683776523,35.208676275377336,FIX,32.1028887,35.2087158,7.83,ok,32.102818,35.20865,2.67,65,VPR_FIX,32.1028887,35.2087158,7.83
3898,130.016,32.10279753424098,35.20877665934897,FIX,32.1028661,35.2088163,8.5,ok,32.10281,35.208763,1.89,52,VPR_FIX,32.1028661,35.2088163,8.5
3927,130.984,32.102767534240954,35.20887565934896,FIX,32.1028422,35.2089175,9.21,ok,32.102768,35.208855,1.95,68,VPR_FIX,32.1028422,35.2089175,9.21
3957,131.985,32.10273446047197,35.20897376396898,FIX,32.1028184,35.2090171,10.2,ok,32.102726,35.20897,1.01,77,VPR_FIX,32.1028184,35.2090171,10.2
3987,132.986,32.102702345565824,35.20907327843292,FIX,32.1027967,35.2091161,11.25,ok,32.1027,35.20907,0.4,66,VPR_FIX,32.1027967,35.2091161,11.25
4017,133.986,32.10267034556582,35.20917427843291,FIX,32.1027745,35.2092145,12.2,ok,32.102665,35.20917,0.72,68,VPR_FIX,32.1027745,35.2092145,12.2
4047,134.987,32.102639345565784,35.20927427843289,FIX,32.1027524,35.2093109,13.05,ok,32.102634,35.209274,0.6,69,VPR_FIX,32.1027524,35.2093109,13.05
4077,135.988,32.10260439902892,35.20937398117474,FIX,32.102731,35.2094019,14.34,ok,32.1026,35.20938,0.75,60,VPR_FIX,32.102731,35.2094019,14.34
4107,136.989,32.10257441557354,35.20947487119515,FIX,32.1027147,35.209487,15.66,ok,32.102562,35.209488,1.86,59,VPR_FIX,32.1027147,35.209487,15.66
4137,137.99,32.1025424779448,35.20957445855535,FIX,32.1027047,35.2095595,18.11,ok,32.10252,35.209606,3.89,57,VPR_FIX,32.1027047,35.2095595,18.11
4167,138.991,32.102513460471975,35.20967476396898,FIX,32.1026895,35.2096193,20.28,ok,32.1025,35.2097,2.81,51,VPR_FIX,32.1026895,35.2096193,20.28
4197,139.992,32.10249644972165,35.209780207856376,FIX,32.1026684,35.2096703,21.77,ok,32.102493,35.20978,0.38,42,VPR_FIX,32.1026684,35.2096703,21.77
4227,140.993,32.10247237658621,35.20988177730126,FIX,32.1026497,35.2097297,24.4,ok,32.102463,35.2099,2.01,50,VPR_FIX,32.1026497,35.2097297,24.4
4257,141.994,32.10244337658621,35.20998277730125,FIX,32.1026361,35.2097817,28.64,ok,32.10246,35.209957,3.05,51,VPR_FIX,32.1026361,35.2097817,28.64
4287,142.995,32.10241450669238,35.21008243265838,FIX,32.102625,35.2098277,33.55,ok,32.10242,35.21013,4.53,32,VPR_FIX,32.102625,35.2098277,33.55
4317,143.995,32.10238462939507,35.21018208334006,FIX,32.1026151,35.2098706,39.0,ok,32.102352,35.21025,7.36,23,VPR_FIX,32.1026151,35.2098706,39.0
4347,144.996,32.10235847460214,35.21028181602642,FIX,32.1026076,35.2099086,44.81,ok,32.10238,35.21022,6.3,12,VPR_FIX,32.1026076,35.2099086,44.81
