frame_count,start_seconds,sat_status,sat_inliers,vpr_triggered,vpr_best_inliers,vpr_best_ratio,source,final_lat,final_lon,error_m,frame_seconds
3927,130.984,ok,12,False,0,0.0,SAT,32.10331,35.20453,53.22848549383074,0.2948368330253288
3957,131.985,ok,26,False,0,0.0,SAT,32.103344,35.204685,30.66737631011891,0.5297300830716267
3987,132.986,ok,15,False,0,0.0,SAT,32.103317,35.20454,32.88727297153728,0.5250006660353392
4017,133.987,ok,23,False,0,0.0,SAT,32.10335,35.204437,33.667589794805664,0.520658583031036
4047,134.987,ok,22,False,0,0.0,SAT,32.103317,35.204346,30.880361719177863,0.4455388749483973
4077,135.988,ok,10,False,0,0.0,SAT,32.103287,35.204292,25.59636792378427,0.28328866709489375
4107,136.989,ok,11,False,0,0.0,SAT,32.103413,35.20411,35.6077158589876,0.2859906670637429
4137,137.99,ok,12,False,0,0.0,SAT,32.10338,35.203983,36.01411647204641,0.3208419580478221
4167,138.991,ok,21,False,0,0.0,SAT,32.103474,35.203922,35.70873612670332,0.3468530420213938
4197,139.992,ok,28,False,0,0.0,SAT,32.10341,35.203793,34.38735624871473,0.38980762497521937
4227,140.993,ok,29,False,0,0.0,SAT,32.10343,35.203674,35.88747133557722,0.3481457920279354
4257,141.994,ok,39,False,0,0.0,SAT,32.10343,35.203556,36.774854524059855,0.43945341696962714
4287,142.995,ok,34,False,0,0.0,SAT,32.103485,35.20347,36.66294836307667,0.4892439160030335
4317,143.996,ok,32,False,0,0.0,SAT,32.10344,35.203354,36.03732449254802,0.3624101660680026
4347,144.996,ok,35,False,0,0.0,SAT,32.103462,35.203262,34.68638880757115,0.5161806249525398
4377,145.997,ok,49,False,0,0.0,SAT,32.103577,35.20315,38.269930419796424,0.3836720420513302
4407,146.998,ransac_fail,0,True,83,0.783,NO_FIX,,,,1.3412117089610547
4437,147.999,ok,22,False,0,0.0,SAT,32.104313,35.203903,50.534787207255995,0.3789656249573454
4467,149.0,ok,50,False,0,0.0,SAT,32.10437,35.203743,37.077991278343625,0.3530502920038998
4497,150.001,ok,52,False,0,0.0,SAT,32.104347,35.203487,37.9942397716823,0.5736355409026146
4527,151.002,ok,53,False,0,0.0,SAT,32.104412,35.20344,35.656311999288505,0.42554179194848984
4557,152.003,ok,49,False,0,0.0,SAT,32.104485,35.203384,36.03173521207216,0.5376194169512019
4587,153.004,ok,55,False,0,0.0,SAT,32.104546,35.203346,34.21093404838548,0.45047916600015014
4617,154.004,ok,50,False,0,0.0,SAT,32.104626,35.20329,34.76233371942454,0.3554973329883069
4647,155.005,ok,54,False,0,0.0,SAT,32.1047,35.203236,34.405150370043,0.6391013329848647
4677,156.006,ok,29,False,0,0.0,SAT,32.10476,35.20319,32.5899470483232,0.40962920896708965
4707,157.007,ok,48,False,0,0.0,SAT,32.10484,35.20314,32.749908413696275,0.5623742500320077
4737,158.008,ok,54,False,0,0.0,SAT,32.104916,35.203087,32.94489075049588,0.6860558330081403
4767,159.009,ok,55,False,0,0.0,SAT,32.104992,35.203037,32.789809459413775,0.7066895420430228
4797,160.01,ok,55,False,0,0.0,SAT,32.10507,35.202988,32.589913293028175,0.46096095792017877
4827,161.011,ok,58,False,0,0.0,SAT,32.105137,35.202934,31.68358496591755,0.6805989999556914
4857,162.012,ok,45,False,0,0.0,SAT,32.105217,35.202885,31.885087030377402,0.6181815420277417
4887,163.013,ok,47,False,0,0.0,SAT,32.105297,35.20284,31.683567876080485,0.47590749990195036
4917,164.013,ok,48,False,0,0.0,SAT,32.105377,35.202778,32.58987969031504,0.44102999998722225
4947,165.014,ok,48,False,0,0.0,SAT,32.10544,35.202736,30.224914238603635,0.5472590420395136
4977,166.015,ok,53,False,0,0.0,SAT,32.105515,35.20267,30.711036379838532,0.3448867079569027
5007,167.016,ok,46,False,0,0.0,SAT,32.10558,35.20262,29.699092973997534,0.40961112501099706
5036,167.984,ok,48,False,0,0.0,SAT,32.105667,35.20258,29.873828830416524,0.3806857920717448
5066,168.985,ok,46,False,0,0.0,SAT,32.10575,35.202522,30.778150603622215,0.4528244159882888
5096,169.985,ok,46,False,0,0.0,SAT,32.10583,35.20247,31.130591042538647,0.3572352919727564
5126,170.986,ok,41,False,0,0.0,SAT,32.105904,35.20241,30.981354732494612,0.39897533296607435
5156,171.987,ok,39,False,0,0.0,SAT,32.105995,35.202347,32.85080759835261,0.3898491249419749
5186,172.988,ok,43,False,0,0.0,SAT,32.106068,35.202297,31.951022058358177,0.4630364580079913
5216,173.989,ok,59,False,0,0.0,SAT,32.10615,35.202236,32.85078868055901,0.37185283296275884
5246,174.99,ok,55,False,0,0.0,SAT,32.106213,35.20215,33.370104615414306,0.5633037500083447
5276,175.991,ok,52,False,0,0.0,SAT,32.1063,35.20206,36.05043962987454,0.46239233296364546
5306,176.992,ok,53,False,0,0.0,SAT,32.10635,35.20202,32.50587257218376,0.3830292091006413
5336,177.993,ok,44,False,0,0.0,SAT,32.106606,35.20229,43.27408834849968,0.32999833300709724
5366,178.994,ok,19,False,0,0.0,SAT,32.106655,35.202908,52.75046923500928,0.310798833030276
5396,179.994,ok,16,False,0,0.0,SAT,32.106346,35.20332,40.03779948764443,0.36831420799717307
5426,180.995,ok,31,False,0,0.0,SAT,32.10637,35.203495,31.686895906592632,0.35953454195987433
5456,181.996,ok,32,False,0,0.0,SAT,32.1064,35.203503,23.763286297315254,0.43658387497998774
5486,182.997,ok,36,False,0,0.0,SAT,32.106445,35.203594,24.22636006338026,0.3630938329733908
5516,183.998,ok,38,False,0,0.0,SAT,32.1065,35.203682,24.640877017068927,0.36280087498016655
5546,184.999,ok,26,False,0,0.0,SAT,32.106712,35.20379,37.23526195940891,0.39993587497156113
5576,186.0,ok,23,False,0,0.0,SAT,32.106834,35.203796,37.48631829553255,0.3665174579946324
5606,187.001,ok,16,False,0,0.0,SAT,32.107216,35.20344,53.54942911012015,0.255094249965623
5636,188.002,ok,11,False,0,0.0,SAT,32.1073,35.20334,47.609760174613655,0.38460691703949124
5666,189.003,ransac_fail,0,True,10,0.227,NO_FIX,,,,1.6933477920247242
5696,190.003,ok,22,False,0,0.0,SAT,32.10744,35.20355,50.11362665519267,0.4528937090653926
5726,191.004,ok,28,False,0,0.0,SAT,32.107555,35.203594,52.839314394248774,0.4455061249900609
5756,192.005,ok,33,False,0,0.0,SAT,32.107655,35.203613,54.221942981186444,0.39372412499506027
5786,193.006,ok,29,False,0,0.0,SAT,32.10763,35.203873,54.841786246572916,0.42679562501143664
5816,194.007,ok,36,False,0,0.0,SAT,32.107635,35.20405,53.7959924455442,0.44560920796357095
5846,195.008,ok,34,False,0,0.0,SAT,32.107723,35.204105,54.24001402131475,0.4168417500331998
5876,196.009,ok,35,False,0,0.0,SAT,32.10781,35.204163,55.30682512048951,0.44228499999735504
5906,197.01,ok,30,False,0,0.0,SAT,32.107914,35.20422,58.3343205563554,0.5228544580750167
5936,198.011,ok,36,False,0,0.0,SAT,32.107986,35.20429,59.30517128245571,0.46658870799001306
5966,199.012,ok,33,False,0,0.0,SAT,32.108086,35.20435,61.243759917623784,0.4905640420038253
5996,200.012,ok,35,False,0,0.0,SAT,32.10818,35.204407,63.45157435234477,0.40275462495628744
6026,201.013,ok,23,False,0,0.0,SAT,32.10789,35.204754,66.2196832438601,0.45106787502299994
6056,202.014,ok,38,False,0,0.0,SAT,32.10733,35.204865,63.978263756133714,0.47004504199139774
6086,203.015,ok,38,False,0,0.0,SAT,32.107353,35.204967,47.70637398867701,0.42615687497891486
6116,204.016,ok,33,False,0,0.0,SAT,32.107376,35.20508,46.950323213416894,0.5037499159807339
6145,204.984,ok,34,False,0,0.0,SAT,32.107418,35.204983,30.384145419975116,0.44513800006825477
6175,205.984,ok,29,False,0,0.0,SAT,32.10768,35.2053,49.34475784312804,0.45593170798383653
6205,206.985,ok,24,False,0,0.0,SAT,32.107723,35.205387,52.7628427297649,0.4507162080844864
6235,207.986,ok,19,False,0,0.0,SAT,32.107727,35.205505,57.7110212553245,0.36652570799924433
6265,208.987,ok,20,False,0,0.0,SAT,32.1078,35.20563,70.04543075017669,0.4225237499922514
6295,209.988,ransac_fail,0,True,7,0.171,NO_FIX,,,,1.1346211669733748
6325,210.989,ransac_fail,0,True,7,0.156,NO_FIX,,,,1.1471186249982566
6355,211.99,ransac_fail,0,True,8,0.286,NO_FIX,,,,1.0505065420875326
6385,212.991,ransac_fail,0,True,7,0.194,NO_FIX,,,,1.2575845420360565
6415,213.992,ok,26,False,0,0.0,SAT,32.10806,35.20574,90.96848312873317,0.5388067499734461
6445,214.993,ok,33,False,0,0.0,SAT,32.108097,35.205803,66.03495447228198,0.558591999928467
6475,215.993,ok,15,False,0,0.0,SAT,32.10798,35.205875,59.73967150103435,0.3861089999554679
6505,216.994,ok,15,False,0,0.0,SAT,32.107933,35.206013,60.66716665757672,0.3137612920254469
6535,217.995,ok,11,False,0,0.0,SAT,32.107983,35.20606,54.689093475998575,0.46509362501092255
6565,218.996,ok,14,False,0,0.0,SAT,32.107994,35.206223,60.93728025032039,0.5738013749942183
6595,219.997,ok,11,False,0,0.0,SAT,32.107983,35.206276,55.832541794462465,0.30784158303868026
6625,220.998,ok,26,False,0,0.0,SAT,32.107956,35.20642,59.711565464115715,0.5001172079937533
6655,221.999,ok,27,False,0,0.0,SAT,32.107834,35.20647,55.041820859119895,0.5088011670159176
6685,223.0,ok,29,False,0,0.0,SAT,32.107815,35.206562,53.878797698040714,0.43150508299004287
6715,224.001,ok,37,False,0,0.0,SAT,32.10779,35.206696,56.42720504518594,0.388301208964549
6745,225.002,ok,34,False,0,0.0,SAT,32.107864,35.20672,48.29131158197242,0.401779624982737
6775,226.002,ok,31,False,0,0.0,SAT,32.107803,35.206882,54.01507738079046,0.35976387502159923
6805,227.003,ok,32,False,0,0.0,SAT,32.10776,35.20702,57.14266956737489,0.32715854106936604
6835,228.004,ok,34,False,0,0.0,SAT,32.107758,35.207108,55.26948634823119,0.3680982500081882
6865,229.005,ok,29,False,0,0.0,SAT,32.10776,35.20718,51.937581397809026,0.4535215419018641
6895,230.006,ok,31,False,0,0.0,SAT,32.10775,35.207264,50.14413895205189,0.2805411670124158
6925,231.007,ok,30,False,0,0.0,SAT,32.107746,35.207382,51.16380833766211,0.3208665830316022
6955,232.008,ok,45,False,0,0.0,SAT,32.10772,35.207508,53.440136916060695,0.3750956669682637
6985,233.009,ok,38,False,0,0.0,SAT,32.1077,35.207626,54.6869331570365,0.40392558404710144
7015,234.01,ok,46,False,0,0.0,SAT,32.107697,35.207726,53.878866607831206,0.412928375066258
7045,235.011,ok,45,False,0,0.0,SAT,32.10768,35.207806,51.473058782467575,0.4452587090199813
7075,236.011,ok,42,False,0,0.0,SAT,32.107674,35.207928,52.901104373380655,0.5817046669544652
7105,237.012,ok,48,False,0,0.0,SAT,32.107666,35.20803,52.80557854345004,0.4919113339856267
7135,238.013,ok,45,False,0,0.0,SAT,32.107662,35.208138,52.72356129054446,0.4565045420313254
7165,239.014,ok,49,False,0,0.0,SAT,32.107445,35.208157,50.415439366767906,0.4928355000447482
7195,240.015,ok,42,False,0,0.0,SAT,32.107407,35.208225,47.57834823637931,0.45151362498290837
7225,241.016,ok,53,False,0,0.0,SAT,32.107162,35.208176,46.82126777518412,0.4943534169578925
7254,241.983,ok,54,False,0,0.0,SAT,32.10708,35.208214,44.470172614372764,0.37579979200381786
7284,242.984,ok,51,False,0,0.0,SAT,32.10695,35.2082,42.9233436788745,0.4367547499714419
7314,243.985,ok,55,False,0,0.0,SAT,32.106586,35.20738,66.18396339618094,0.364450209075585
7344,244.986,ok,50,False,0,0.0,SAT,32.106533,35.20736,43.698022535980876,0.4485493330284953
7374,245.987,ok,44,False,0,0.0,SAT,32.10646,35.207355,37.66065031212144,0.28286033298354596
7404,246.988,ok,48,False,0,0.0,SAT,32.106373,35.207344,38.03955769037256,0.2746446250239387
7434,247.989,ok,46,False,0,0.0,SAT,32.106304,35.20741,35.672426798971316,0.3217198330676183
7464,248.99,ok,47,False,0,0.0,SAT,32.106216,35.207417,35.6778670573763,0.26855570799671113
7494,249.991,ok,47,False,0,0.0,SAT,32.106144,35.2074,34.48869998263468,0.23634995811153203
7524,250.992,ok,47,False,0,0.0,SAT,32.106056,35.207405,34.09367237887946,0.32611533300951123
7554,251.992,ok,44,False,0,0.0,SAT,32.105965,35.207397,34.763351173729646,0.37701541709247977
7584,252.993,ok,43,False,0,0.0,SAT,32.105877,35.20741,34.20166219478655,0.346630375017412
7614,253.994,ok,50,False,0,0.0,SAT,32.106018,35.20671,59.016600079113914,0.39637429104186594
7644,254.995,ok,40,False,0,0.0,SAT,32.106323,35.206413,62.60498489476236,0.4878995830658823
7674,255.996,ok,40,False,0,0.0,SAT,32.106335,35.206318,41.42575857438948,0.3320011249743402
7704,256.997,ok,50,False,0,0.0,SAT,32.106304,35.206234,33.814995852483186,0.32248087495099753
7734,257.998,ok,45,False,0,0.0,SAT,32.106274,35.206142,32.75800222258234,0.4337300829356536
7764,258.999,ok,43,False,0,0.0,SAT,32.106285,35.20604,33.13649184181773,0.3673347909934819
7794,260.0,ok,51,False,0,0.0,SAT,32.106316,35.20591,35.74896231700665,0.43950004095677286
